cluster_id	group
0	good
1	good
2	good
3	good
4	good
5	good
6	good
7	good
8	good
9	good
10	good
11	good
12	good
13	noise
14	noise
15	good
16	good
17	good
18	good
19	good
20	good
21	good
22	good
23	good
24	good
25	good
26	good
27	good
28	good
29	good
30	good
31	good
32	noise
33	noise
34	noise
35	good
36	good
37	good
38	noise
39	noise
40	noise
41	noise
42	noise
43	noise
44	good
45	good
46	noise
47	good
48	good
49	good
50	good
51	good
52	good
53	good
54	good
55	good
56	good
57	good
58	good
59	good
60	good
61	good
62	good
63	good
64	good
65	good
66	good
67	good
68	good
69	good
70	good
71	good
72	good
73	good
74	good
75	good
76	good
77	good
78	good
79	good
80	good
81	good
82	good
83	good
84	good
85	good
86	noise
87	noise
88	good
89	good
90	good
91	good
92	good
93	good
94	noise
95	good
96	good
97	good
98	good
99	good
100	good
101	good
102	good
103	good
104	good
105	good
106	good
107	good
108	good
109	good
110	good
111	good
112	good
113	good
114	good
115	good
116	good
117	good
118	good
119	good
120	good
121	good
122	good
123	good
124	good
125	good
126	good
127	good
128	good
129	good
130	good
131	good
132	good
133	good
134	good
135	good
136	good
137	good
138	good
139	good
140	good
141	good
142	good
143	good
144	good
145	good
146	good
147	good
148	good
149	good
150	good
151	good
152	good
153	good
154	good
155	good
156	good
157	good
158	good
159	good
160	good
161	good
162	good
163	good
164	good
165	good
166	good
167	good
168	good
169	good
170	good
171	good
172	good
173	good
174	good
175	good
176	good
177	good
178	good
179	good
180	good
181	good
182	good
183	good
184	good
185	good
186	noise
187	good
188	good
189	good
190	good
191	good
192	good
193	good
194	good
195	good
196	good
197	good
198	good
199	good
200	good
201	good
202	good
203	good
204	good
